"INDICADOR","ANO","NORMAL","STATISTIC","P.VALUE"
INDICADOR_001,2008,FALSE,0.3114213,8.373478e-28
INDICADOR_001,2009,FALSE,0.4017742,2.795706e-26
INDICADOR_001,2010,FALSE,0.3194136,1.12485e-27
INDICADOR_001,2011,FALSE,0.2648457,1.579293e-28
INDICADOR_001,2012,FALSE,0.2304633,4.860686e-29
INDICADOR_002,2008,FALSE,0.9819777,0.007154205
INDICADOR_002,2009,TRUE,0.995631,0.7951574
INDICADOR_002,2010,TRUE,0.9908742,0.1901808
INDICADOR_002,2011,TRUE,0.9902844,0.1534064
INDICADOR_002,2012,FALSE,0.983724,0.01341587
INDICADOR_004,2008,FALSE,0.3974971,2.34649e-26
INDICADOR_004,2009,FALSE,0.3469765,3.180534e-27
INDICADOR_004,2010,FALSE,0.2781458,2.520774e-28
INDICADOR_004,2011,FALSE,0.2663737,1.665879e-28
INDICADOR_004,2012,FALSE,0.3128113,8.81282e-28
INDICADOR_007,2008,FALSE,0.8334178,1.633375e-14
INDICADOR_007,2009,FALSE,0.2556651,1.14811e-28
INDICADOR_007,2010,FALSE,0.9120461,4.927407e-10
INDICADOR_007,2011,FALSE,0.8457598,6.341486e-14
INDICADOR_007,2012,FALSE,0.4403901,1.423511e-25
INDICADOR_009,2008,FALSE,0.9220546,2.727725e-09
INDICADOR_009,2009,FALSE,0.9050425,1.600139e-10
INDICADOR_009,2010,FALSE,0.9325294,1.907253e-08
INDICADOR_009,2011,FALSE,0.7027569,2.226448e-19
INDICADOR_009,2012,FALSE,0.603582,4.392067e-22
INDICADOR_020,2008,FALSE,0.9579351,5.224774e-06
INDICADOR_020,2009,FALSE,0.9630111,1.973536e-05
INDICADOR_020,2010,FALSE,0.9566349,3.76752e-06
INDICADOR_020,2011,FALSE,0.9585842,6.163327e-06
INDICADOR_021,2008,TRUE,0.9921608,0.2993911
INDICADOR_021,2009,TRUE,0.9938461,0.5131886
INDICADOR_021,2010,TRUE,0.9944795,0.6118023
INDICADOR_021,2011,TRUE,0.9938085,0.5075698
INDICADOR_035,2008,FALSE,0.8898458,1.658956e-11
INDICADOR_035,2009,FALSE,0.8722986,1.548864e-12
INDICADOR_035,2010,FALSE,0.8843457,7.688849e-12
INDICADOR_035,2011,FALSE,0.903652,1.28818e-10
INDICADOR_035,2012,FALSE,0.7970827,4.378463e-16
INDICADOR_041,2008,FALSE,0.3441047,2.849528e-27
INDICADOR_041,2009,FALSE,0.4053323,3.236692e-26
INDICADOR_041,2010,FALSE,0.545867,1.993651e-23
INDICADOR_041,2011,FALSE,0.854515,1.739383e-13
INDICADOR_041,2012,FALSE,0.8817156,5.369187e-12
INDICADOR_101,2007,FALSE,0.7832206,1.244616e-16
INDICADOR_101,2008,FALSE,0.830569,1.206409e-14
INDICADOR_101,2009,FALSE,0.7790261,8.604775e-17
INDICADOR_101,2010,FALSE,0.7946814,3.505896e-16
INDICADOR_101,2011,FALSE,0.8320104,1.405661e-14
INDICADOR_101,2012,FALSE,0.9021142,1.015876e-10
INDICADOR_102,2007,FALSE,0.8092457,1.390848e-15
INDICADOR_102,2008,FALSE,0.8380921,2.706903e-14
INDICADOR_102,2009,FALSE,0.810281,1.53835e-15
INDICADOR_102,2010,FALSE,0.819819,3.968399e-15
INDICADOR_102,2011,FALSE,0.8308352,1.240868e-14
INDICADOR_102,2012,FALSE,0.8914391,2.082836e-11
INDICADOR_103,2007,FALSE,0.8847947,8.179401e-12
INDICADOR_103,2008,FALSE,0.9289229,9.573611e-09
INDICADOR_103,2009,FALSE,0.878298,3.394028e-12
INDICADOR_103,2010,FALSE,0.8437935,5.083669e-14
INDICADOR_103,2011,FALSE,0.8991066,6.429129e-11
INDICADOR_103,2012,FALSE,0.9543787,2.16205e-06
INDICADOR_104,2007,FALSE,0.8063394,1.05025e-15
INDICADOR_104,2008,FALSE,0.8635908,5.180777e-13
INDICADOR_104,2009,FALSE,0.8284239,9.625928e-15
INDICADOR_104,2010,FALSE,0.7102031,3.77441e-19
INDICADOR_104,2011,FALSE,0.8174056,3.111992e-15
INDICADOR_104,2012,FALSE,0.7952064,3.679844e-16
INDICADOR_105,2007,FALSE,0.7360867,2.56738e-18
INDICADOR_105,2008,FALSE,0.7837722,1.307026e-16
INDICADOR_105,2009,FALSE,0.6772962,3.934447e-20
INDICADOR_105,2010,FALSE,0.6830421,5.764445e-20
INDICADOR_105,2011,FALSE,0.7958441,3.903297e-16
INDICADOR_105,2012,FALSE,0.7578914,1.442752e-17
INDICADOR_106,2007,FALSE,0.7360867,2.56738e-18
INDICADOR_106,2008,FALSE,0.7837722,1.307026e-16
INDICADOR_106,2009,FALSE,0.6772962,3.934447e-20
INDICADOR_106,2010,FALSE,0.6830421,5.764445e-20
INDICADOR_106,2011,FALSE,0.7958441,3.903297e-16
INDICADOR_106,2012,FALSE,0.7578914,1.442752e-17
INDICADOR_107,2007,FALSE,0.8472131,7.476672e-14
INDICADOR_107,2008,FALSE,0.8208323,4.397904e-15
INDICADOR_107,2009,FALSE,0.8057161,9.89238e-16
INDICADOR_107,2010,FALSE,0.8295009,1.077862e-14
INDICADOR_107,2011,FALSE,0.8294217,1.068913e-14
INDICADOR_107,2012,FALSE,0.8399098,3.303614e-14
INDICADOR_108,2007,FALSE,0.7424169,4.190645e-18
INDICADOR_108,2008,FALSE,0.745829,5.477523e-18
INDICADOR_108,2009,FALSE,0.7393824,3.309795e-18
INDICADOR_108,2010,FALSE,0.7270562,1.295304e-18
INDICADOR_108,2011,FALSE,0.7221709,9.00871e-19
INDICADOR_108,2012,FALSE,0.7491367,7.119274e-18
INDICADOR_109,2007,FALSE,0.2214981,3.599557e-29
INDICADOR_109,2008,FALSE,0.3251246,1.391308e-27
INDICADOR_109,2009,FALSE,0.2039256,2.013684e-29
INDICADOR_109,2010,FALSE,0.2904106,3.903402e-28
INDICADOR_109,2011,FALSE,0.3036963,6.311305e-28
INDICADOR_109,2012,FALSE,0.2834292,3.041069e-28
INDICADOR_110,2007,FALSE,0.3240008,1.334153e-27
INDICADOR_110,2008,FALSE,0.3177132,1.056143e-27
INDICADOR_110,2009,FALSE,0.3158405,9.854601e-28
INDICADOR_110,2010,FALSE,0.2277465,4.436481e-29
INDICADOR_110,2011,FALSE,0.2822141,2.912343e-28
INDICADOR_110,2012,FALSE,0.2658285,1.634436e-28
INDICADOR_111,2007,FALSE,0.7196394,7.477398e-19
INDICADOR_111,2008,FALSE,0.604189,4.545374e-22
INDICADOR_111,2009,FALSE,0.5931561,2.451506e-22
INDICADOR_111,2010,FALSE,0.4495702,2.123221e-25
INDICADOR_111,2011,FALSE,0.5464795,2.056797e-23
INDICADOR_111,2012,FALSE,0.5329476,1.040391e-23
INDICADOR_112,2007,FALSE,0.4133167,4.507515e-26
INDICADOR_112,2008,FALSE,0.3749194,9.456595e-27
INDICADOR_112,2009,FALSE,0.3496075,3.518602e-27
INDICADOR_112,2010,FALSE,0.3799841,1.156868e-26
INDICADOR_112,2011,FALSE,0.3827078,1.29003e-26
INDICADOR_112,2012,FALSE,0.3917112,1.854304e-26
INDICADOR_113,2007,FALSE,0.9605464,1.02401e-05
INDICADOR_113,2008,FALSE,0.9637606,2.419552e-05
INDICADOR_113,2009,FALSE,0.9740971,0.0005054444
INDICADOR_113,2010,FALSE,0.9769546,0.001274643
INDICADOR_113,2011,TRUE,0.9907902,0.1844863
INDICADOR_113,2012,TRUE,0.9926989,0.3587346
INDICADOR_114,2007,FALSE,0.8792873,3.87242e-12
INDICADOR_114,2008,FALSE,0.8897362,1.633336e-11
INDICADOR_114,2009,FALSE,0.9219975,2.700191e-09
INDICADOR_114,2010,FALSE,0.971557,0.000229505
INDICADOR_114,2011,FALSE,0.9685056,9.23612e-05
INDICADOR_114,2012,FALSE,0.9677966,7.518045e-05
INDICADOR_201,1991,FALSE,0.979086,0.002609315
INDICADOR_201,2010,FALSE,0.9837239,0.01341549
INDICADOR_201,2000,FALSE,0.982519,0.008680696
INDICADOR_202,1991,FALSE,0.9546679,2.319632e-06
INDICADOR_202,2010,FALSE,0.9778111,0.001695205
INDICADOR_202,2000,FALSE,0.947733,4.569042e-07
INDICADOR_203,1991,FALSE,0.9856993,0.02774359
INDICADOR_203,2010,FALSE,0.9640365,2.609402e-05
INDICADOR_203,2000,FALSE,0.9796689,0.003186832
INDICADOR_204,1991,FALSE,0.9850895,0.02213531
INDICADOR_204,2010,FALSE,0.9695341,0.0001249626
INDICADOR_204,2000,FALSE,0.9804763,0.004215612
INDICADOR_205,1991,FALSE,0.9768236,0.001220661
INDICADOR_205,2010,FALSE,0.9758409,0.0008846187
INDICADOR_205,2000,FALSE,0.9828303,0.009707733
INDICADOR_206,1991,TRUE,0.9881155,0.06844579
INDICADOR_206,2010,TRUE,0.9890946,0.09872989
INDICADOR_206,2000,TRUE,0.992336,0.3177719
INDICADOR_207,1991,TRUE,0.9913045,0.2219443
INDICADOR_207,2010,FALSE,0.9625307,1.733728e-05
INDICADOR_207,2000,FALSE,0.9808531,0.004808924
INDICADOR_208,1991,FALSE,0.9785831,0.002198927
INDICADOR_208,2010,FALSE,0.9836498,0.01305834
INDICADOR_208,2000,FALSE,0.9823221,0.008089504
