"COD_MUNICIPIO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","ANO","INDICADOR_001","DESVIOS_MELHOR_INDICADOR_001"
250010,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",2007,0.196149510243668,-1
250020,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",2007,0.226581443945536,-1
250030,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",2007,0.270121514293046,1
250040,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",2007,0.238301441949418,-1
250050,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",2007,0.206895165377599,-1
250053,2502,"Borborema",250211,"Cariri Oriental","Alcantil",2007,0.217559495111428,-1
250057,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",2007,0.221551559410814,-1
250060,2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",2007,0.215521132086549,-1
250073,2502,"Borborema",250210,"Cariri Ocidental","Amparo",2007,0.19863347176095,-1
250077,2501,"Sertão Paraibano",250103,"Sousa","Aparecida",2007,0.224905054062788,-1
250080,2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",2007,0.215819829928577,-1
250090,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",2007,0.234756839680445,-1
250100,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",2007,0.310971677389488,2
250110,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",2007,0.273744315077356,1
250115,2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",2007,0.233471501323671,-1
250120,2503,"Agreste Paraibano",250314,"Esperança","Areial",2007,0.242711197414349,1
250130,2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",2007,0.241037394001336,1
250135,2502,"Borborema",250210,"Cariri Ocidental","Assunção",2007,0.209175975310955,-1
250140,2504,"Mata Paraibana",250420,"Litoral Norte","Baía da Traição",2007,0.291240849114498,2
250150,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Bananeiras",2007,0.27110684241952,1
250153,2502,"Borborema",250209,"Seridó Oriental Paraibano","Baraúna",2007,0.202408498601722,-1
250157,2502,"Borborema",250211,"Cariri Oriental","Barra de Santana",2007,0.249559162763433,1
250160,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Barra de Santa Rosa",2007,0.211572200676058,-1
250170,2502,"Borborema",250211,"Cariri Oriental","Barra de São Miguel",2007,0.19309014524765,-1
250180,2504,"Mata Paraibana",250422,"João Pessoa","Bayeux",2007,0.242568809206867,1
250190,2503,"Agreste Paraibano",250316,"Guarabira","Belém",2007,0.287164104307334,1
250200,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Belém do Brejo do Cruz",2007,0.301102096879629,2
250205,2501,"Sertão Paraibano",250102,"Cajazeiras","Bernardino Batista",2007,0.140246756169421,-3
250210,2501,"Sertão Paraibano",250106,"Itaporanga","Boa Ventura",2007,0.308810611251875,2
250215,2503,"Agreste Paraibano",250317,"Campina Grande","Boa Vista",2007,0.211939833014043,-1
250220,2501,"Sertão Paraibano",250102,"Cajazeiras","Bom Jesus",2007,0.131059168225886,-3
250230,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Bom Sucesso",2007,0.237850516520505,-1
250240,2501,"Sertão Paraibano",250102,"Cajazeiras","Bonito de Santa Fé",2007,0.191972979316027,-2
250250,2502,"Borborema",250211,"Cariri Oriental","Boqueirão",2007,0.3273262226289,2
250270,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Borborema",2007,0.196052302514209,-1
250280,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Brejo do Cruz",2007,0.262281716184322,1
250290,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Brejo dos Santos",2007,0.239553483033876,-1
250300,2504,"Mata Paraibana",250423,"Litoral Sul","Caaporã",2007,0.181072687986814,-2
250310,2502,"Borborema",250211,"Cariri Oriental","Cabaceiras",2007,0.218105320725271,-1
250320,2504,"Mata Paraibana",250422,"João Pessoa","Cabedelo",2007,0.257020977233254,1
250330,2501,"Sertão Paraibano",250102,"Cajazeiras","Cachoeira dos Índios",2007,0.188491255311545,-2
250340,2501,"Sertão Paraibano",250104,"Patos","Cacimba de Areia",2007,0.204761426119133,-1
250350,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Cacimba de Dentro",2007,0.216025746718376,-1
250355,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Cacimbas",2007,0.19094465799911,-2
250360,2503,"Agreste Paraibano",250316,"Guarabira","Caiçara",2007,0.234014509803423,-1
250370,2501,"Sertão Paraibano",250102,"Cajazeiras","Cajazeiras",2007,0.32142944517124,2
250375,2501,"Sertão Paraibano",250103,"Sousa","Cajazeirinhas",2007,0.184094798046075,-2
250380,2503,"Agreste Paraibano",250318,"Itabaiana","Caldas Brandão",2007,0.233207686803664,-1
250390,2502,"Borborema",250210,"Cariri Ocidental","Camalaú",2007,0.236646209435556,-1
250400,2503,"Agreste Paraibano",250317,"Campina Grande","Campina Grande",2007,0.330374532108705,2
250403,2504,"Mata Paraibana",250420,"Litoral Norte","Capim",2007,0.195169650512281,-1
250407,2502,"Borborema",250211,"Cariri Oriental","Caraúbas",2007,0.222189694297069,-1
250410,2501,"Sertão Paraibano",250102,"Cajazeiras","Carrapateira",2007,0.189097361790348,-2
250415,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Casserengue",2007,0.204033066952861,-1
250420,2501,"Sertão Paraibano",250105,"Piancó","Catingueira",2007,0.230992035956669,-1
250430,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Catolé do Rocha",2007,0.345451790654627,3
250435,2502,"Borborema",250211,"Cariri Oriental","Caturité",2007,0.22470494556105,-1
250440,2501,"Sertão Paraibano",250106,"Itaporanga","Conceição",2007,0.352335637729697,3
250450,2501,"Sertão Paraibano",250103,"Sousa","Condado",2007,0.277677710032056,1
250460,2504,"Mata Paraibana",250422,"João Pessoa","Conde",2007,0.198516678906315,-1
250470,2502,"Borborema",250210,"Cariri Ocidental","Congo",2007,0.184987525075291,-2
250480,2501,"Sertão Paraibano",250105,"Piancó","Coremas",2007,0.297986130259889,2
250485,2502,"Borborema",250210,"Cariri Ocidental","Coxixola",2007,0.235666810477074,-1
250490,2504,"Mata Paraibana",250421,"Sapé","Cruz do Espírito Santo",2007,0.225335671239017,-1
250500,2502,"Borborema",250209,"Seridó Oriental Paraibano","Cubati",2007,0.232927729651254,-1
250510,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Cuité",2007,0.34188922647781,3
250523,2504,"Mata Paraibana",250420,"Litoral Norte","Cuité de Mamanguape",2007,0.163320159006596,-2
250520,2503,"Agreste Paraibano",250316,"Guarabira","Cuitegi",2007,0.221958094203968,-1
250527,2504,"Mata Paraibana",250420,"Litoral Norte","Curral de Cima",2007,0.17055690098546,-2
250530,2501,"Sertão Paraibano",250106,"Itaporanga","Curral Velho",2007,0.195199210096643,-1
250535,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Damião",2007,0.187154701113359,-2
250540,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Desterro",2007,0.247103630640328,1
250560,2501,"Sertão Paraibano",250106,"Itaporanga","Diamante",2007,0.301518917533304,2
250570,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Dona Inês",2007,0.219060234837208,-1
250580,2503,"Agreste Paraibano",250316,"Guarabira","Duas Estradas",2007,0.190635559408623,-2
250590,2501,"Sertão Paraibano",250105,"Piancó","Emas",2007,0.224009972777599,-1
250600,2503,"Agreste Paraibano",250314,"Esperança","Esperança",2007,0.354683666073215,3
250610,2503,"Agreste Paraibano",250317,"Campina Grande","Fagundes",2007,0.199509630189543,-1
250620,2502,"Borborema",250209,"Seridó Oriental Paraibano","Frei Martinho",2007,0.229584669751455,-1
250625,2503,"Agreste Paraibano",250319,"Umbuzeiro","Gado Bravo",2007,0.208662123335604,-1
250630,2503,"Agreste Paraibano",250316,"Guarabira","Guarabira",2007,0.366310525188093,3
250640,2503,"Agreste Paraibano",250318,"Itabaiana","Gurinhém",2007,0.246861101695008,1
250650,2502,"Borborema",250211,"Cariri Oriental","Gurjão",2007,0.184367967991722,-2
250660,2501,"Sertão Paraibano",250106,"Itaporanga","Ibiara",2007,0.246755911869998,1
250260,2501,"Sertão Paraibano",250105,"Piancó","Igaracy",2007,0.265545512270034,1
250670,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Imaculada",2007,0.295452077497107,2
250680,2503,"Agreste Paraibano",250318,"Itabaiana","Ingá",2007,0.228083177687567,-1
250690,2503,"Agreste Paraibano",250318,"Itabaiana","Itabaiana",2007,0.322916605090557,2
250700,2501,"Sertão Paraibano",250106,"Itaporanga","Itaporanga",2007,0.260531607586227,1
250710,2504,"Mata Paraibana",250420,"Litoral Norte","Itapororoca",2007,0.225817240966054,-1
250720,2503,"Agreste Paraibano",250318,"Itabaiana","Itatuba",2007,0.270159788542599,1
250730,2504,"Mata Paraibana",250420,"Litoral Norte","Jacaraú",2007,0.214463827395654,-1
250740,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Jericó",2007,0.28497960149341,1
250750,2504,"Mata Paraibana",250422,"João Pessoa","João Pessoa",2007,0.315711048738194,2
250760,2503,"Agreste Paraibano",250318,"Itabaiana","Juarez Távora",2007,0.187452760685819,-2
250770,2502,"Borborema",250209,"Seridó Oriental Paraibano","Juazeirinho",2007,0.26663792044542,1
250780,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Junco do Seridó",2007,0.275766002234133,1
250790,2504,"Mata Paraibana",250421,"Sapé","Juripiranga",2007,0.233306630137675,-1
250800,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Juru",2007,0.265315943870647,1
250810,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Lagoa",2007,0.273171602095457,1
250820,2503,"Agreste Paraibano",250316,"Guarabira","Lagoa de Dentro",2007,0.207006178257118,-1
250830,2503,"Agreste Paraibano",250317,"Campina Grande","Lagoa Seca",2007,0.276578290734121,1
250840,2501,"Sertão Paraibano",250103,"Sousa","Lastro",2007,0.185547712242892,-2
250850,2502,"Borborema",250210,"Cariri Ocidental","Livramento",2007,0.194834278330914,-1
250855,2503,"Agreste Paraibano",250316,"Guarabira","Logradouro",2007,0.194881919089502,-1
250860,2504,"Mata Paraibana",250422,"João Pessoa","Lucena",2007,0.213728718554216,-1
250870,2501,"Sertão Paraibano",250104,"Patos","Mãe d'Água",2007,0.268291444007746,1
250880,2501,"Sertão Paraibano",250103,"Sousa","Malta",2007,0.216293810411861,-1
250890,2504,"Mata Paraibana",250420,"Litoral Norte","Mamanguape",2007,0.239345301764339,-1
250900,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Manaíra",2007,0.23706996453862,-1
250905,2504,"Mata Paraibana",250420,"Litoral Norte","Marcação",2007,0.276756878090351,1
250910,2504,"Mata Paraibana",250421,"Sapé","Mari",2007,0.216862223990196,-1
250915,2501,"Sertão Paraibano",250103,"Sousa","Marizópolis",2007,0.260066003713896,1
250920,2503,"Agreste Paraibano",250317,"Campina Grande","Massaranduba",2007,0.253801875566388,1
250930,2504,"Mata Paraibana",250420,"Litoral Norte","Mataraca",2007,0.197441619957043,-1
250933,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Matinhas",2007,0.275675864528642,1
250937,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Mato Grosso",2007,0.277231793515728,1
250939,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Maturéia",2007,0.32758871427294,2
250940,2503,"Agreste Paraibano",250318,"Itabaiana","Mogeiro",2007,0.264640525099486,1
250950,2503,"Agreste Paraibano",250314,"Esperança","Montadas",2007,0.239896494830416,-1
250960,2501,"Sertão Paraibano",250102,"Cajazeiras","Monte Horebe",2007,0.212988560117786,-1
250970,2502,"Borborema",250210,"Cariri Ocidental","Monteiro",2007,0.344405680903341,3
250980,2503,"Agreste Paraibano",250316,"Guarabira","Mulungu",2007,0.250588949825345,1
250990,2503,"Agreste Paraibano",250319,"Umbuzeiro","Natuba",2007,0.228529676895108,-1
251000,2501,"Sertão Paraibano",250103,"Sousa","Nazarezinho",2007,0.194079545828739,-1
251010,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Nova Floresta",2007,0.269862889277015,1
251020,2501,"Sertão Paraibano",250105,"Piancó","Nova Olinda",2007,0.283097135658155,1
251030,2502,"Borborema",250209,"Seridó Oriental Paraibano","Nova Palmeira",2007,0.235501251516975,-1
251040,2501,"Sertão Paraibano",250105,"Piancó","Olho d'Água",2007,0.211242016583716,-1
251050,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Olivedos",2007,0.200012971183497,-1
251060,2502,"Borborema",250210,"Cariri Ocidental","Ouro Velho",2007,0.227237162299345,-1
251065,2502,"Borborema",250210,"Cariri Ocidental","Parari",2007,0.233806772367325,-1
251070,2501,"Sertão Paraibano",250104,"Patos","Passagem",2007,0.220541278921818,-1
251080,2501,"Sertão Paraibano",250104,"Patos","Patos",2007,0.298056671287287,2
251090,2501,"Sertão Paraibano",250103,"Sousa","Paulista",2007,0.282450691699188,1
251100,2501,"Sertão Paraibano",250106,"Itaporanga","Pedra Branca",2007,0.20300364761834,-1
251110,2502,"Borborema",250209,"Seridó Oriental Paraibano","Pedra Lavrada",2007,0.250135938331755,1
251120,2504,"Mata Paraibana",250423,"Litoral Sul","Pedras de Fogo",2007,0.243804339163696,1
251272,2504,"Mata Paraibana",250420,"Litoral Norte","Pedro Régis",2007,0.235531570715445,-1
251130,2501,"Sertão Paraibano",250105,"Piancó","Piancó",2007,0.499598290630935,4
251140,2502,"Borborema",250209,"Seridó Oriental Paraibano","Picuí",2007,0.268025170933928,1
251150,2504,"Mata Paraibana",250421,"Sapé","Pilar",2007,0.290289053829681,2
251160,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Pilões",2007,0.194901168543279,-1
251170,2503,"Agreste Paraibano",250316,"Guarabira","Pilõezinhos",2007,0.241120210015094,1
251180,2503,"Agreste Paraibano",250316,"Guarabira","Pirpirituba",2007,0.242317041209958,1
251190,2504,"Mata Paraibana",250423,"Litoral Sul","Pitimbu",2007,0.217505343428657,-1
251200,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Pocinhos",2007,0.289156970138218,2
251203,2501,"Sertão Paraibano",250102,"Cajazeiras","Poço Dantas",2007,0.18093287760242,-2
251207,2501,"Sertão Paraibano",250102,"Cajazeiras","Poço de José de Moura",2007,0.179112145808789,-2
251210,2501,"Sertão Paraibano",250103,"Sousa","Pombal",2007,0.289429538871216,2
251220,2502,"Borborema",250210,"Cariri Ocidental","Prata",2007,0.26704212232959,1
251230,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Princesa Isabel",2007,0.397312027091308,4
251240,2503,"Agreste Paraibano",250317,"Campina Grande","Puxinanã",2007,0.230661465667806,-1
251250,2503,"Agreste Paraibano",250317,"Campina Grande","Queimadas",2007,0.237118802628077,-1
251260,2501,"Sertão Paraibano",250104,"Patos","Quixabá",2007,0.249008471393082,1
251270,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Remígio",2007,0.232142071566059,-1
251274,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Riachão",2007,0.209269758936433,-1
251275,2503,"Agreste Paraibano",250318,"Itabaiana","Riachão do Bacamarte",2007,0.225631275557659,-1
251276,2504,"Mata Paraibana",250421,"Sapé","Riachão do Poço",2007,0.206182143099564,-1
251278,2502,"Borborema",250211,"Cariri Oriental","Riacho de Santo Antônio",2007,0.186952531355086,-2
251280,2501,"Sertão Paraibano",250101,"Catolé do Rocha","Riacho dos Cavalos",2007,0.220840691629774,-1
251290,2504,"Mata Paraibana",250420,"Litoral Norte","Rio Tinto",2007,0.218349812039727,-1
251300,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Salgadinho",2007,0.214092945358292,-1
251310,2503,"Agreste Paraibano",250318,"Itabaiana","Salgado de São Félix",2007,0.23217867880999,-1
251315,2503,"Agreste Paraibano",250319,"Umbuzeiro","Santa Cecília",2007,0.295926754539431,2
251320,2501,"Sertão Paraibano",250103,"Sousa","Santa Cruz",2007,0.237695896267612,-1
251330,2501,"Sertão Paraibano",250102,"Cajazeiras","Santa Helena",2007,0.224076141331499,-1
251335,2501,"Sertão Paraibano",250106,"Itaporanga","Santa Inês",2007,0.196080907307064,-1
251340,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Santa Luzia",2007,0.222894009133563,-1
251350,2501,"Sertão Paraibano",250106,"Itaporanga","Santana de Mangueira",2007,0.207844242319857,-1
251360,2501,"Sertão Paraibano",250105,"Piancó","Santana dos Garrotes",2007,0.267092849251588,1
251365,2501,"Sertão Paraibano",250102,"Cajazeiras","Santarém",2007,0.168565232221757,-2
251370,2504,"Mata Paraibana",250422,"João Pessoa","Santa Rita",2007,0.286960895760497,1
251380,2501,"Sertão Paraibano",250104,"Patos","Santa Teresinha",2007,0.249857051305762,1
251385,2502,"Borborema",250211,"Cariri Oriental","Santo André",2007,0.243964026819843,1
251392,2501,"Sertão Paraibano",250103,"Sousa","São Bentinho",2007,0.205079153488032,-1
251390,2501,"Sertão Paraibano",250101,"Catolé do Rocha","São Bento",2007,0.288880096354358,2
251396,2501,"Sertão Paraibano",250103,"Sousa","São Domingos",2007,0.220989386285628,-1
251394,2502,"Borborema",250211,"Cariri Oriental","São Domingos do Cariri",2007,0.226704121980013,-1
251398,2501,"Sertão Paraibano",250103,"Sousa","São Francisco",2007,0.219124083671011,-1
251400,2502,"Borborema",250211,"Cariri Oriental","São João do Cariri",2007,0.261547164408801,1
250070,2501,"Sertão Paraibano",250102,"Cajazeiras","São João do Rio do Peixe",2007,0.241228821832281,1
251410,2502,"Borborema",250210,"Cariri Ocidental","São João do Tigre",2007,0.207376281776227,-1
251420,2501,"Sertão Paraibano",250103,"Sousa","São José da Lagoa Tapada",2007,0.19773422356946,-1
251430,2501,"Sertão Paraibano",250106,"Itaporanga","São José de Caiana",2007,0.259586426873547,1
251440,2501,"Sertão Paraibano",250104,"Patos","São José de Espinharas",2007,0.226476515607834,-1
251450,2501,"Sertão Paraibano",250102,"Cajazeiras","São José de Piranhas",2007,0.237859305216315,-1
251455,2501,"Sertão Paraibano",250107,"Serra do Teixeira","São José de Princesa",2007,0.315795682396582,2
251460,2501,"Sertão Paraibano",250104,"Patos","São José do Bonfim",2007,0.186263311711904,-2
251465,2501,"Sertão Paraibano",250101,"Catolé do Rocha","São José do Brejo do Cruz",2007,0.219560678707328,-1
251470,2502,"Borborema",250208,"Seridó Ocidental Paraibano","São José do Sabugi",2007,0.266167063140803,1
251480,2502,"Borborema",250210,"Cariri Ocidental","São José dos Cordeiros",2007,0.203649489593499,-1
251445,2504,"Mata Paraibana",250421,"Sapé","São José dos Ramos",2007,0.187033854100048,-2
251490,2502,"Borborema",250208,"Seridó Ocidental Paraibano","São Mamede",2007,0.211166394509737,-1
251500,2504,"Mata Paraibana",250421,"Sapé","São Miguel de Taipu",2007,0.260772804193227,1
251510,2503,"Agreste Paraibano",250314,"Esperança","São Sebastião de Lagoa de Roça",2007,0.232189207540512,-1
251520,2502,"Borborema",250210,"Cariri Ocidental","São Sebastião do Umbuzeiro",2007,0.214514845828335,-1
251530,2504,"Mata Paraibana",250421,"Sapé","Sapé",2007,0.268168067328683,1
251540,2502,"Borborema",250209,"Seridó Oriental Paraibano","Seridó",2007,0.283033969797562,1
251550,2502,"Borborema",250210,"Cariri Ocidental","Serra Branca",2007,0.226613422384602,-1
251560,2503,"Agreste Paraibano",250316,"Guarabira","Serra da Raiz",2007,0.194362935606825,-1
251570,2501,"Sertão Paraibano",250106,"Itaporanga","Serra Grande",2007,0.223854412986678,-1
251580,2503,"Agreste Paraibano",250317,"Campina Grande","Serra Redonda",2007,0.214959654338813,-1
251590,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Serraria",2007,0.231661420810893,-1
251593,2503,"Agreste Paraibano",250316,"Guarabira","Sertãozinho",2007,0.246107048497082,1
251597,2504,"Mata Paraibana",250421,"Sapé","Sobrado",2007,0.20583077019264,-1
251600,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Solânea",2007,0.226010245280975,-1
251610,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Soledade",2007,0.238719567573566,-1
251615,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Sossêgo",2007,0.215078492167681,-1
251620,2501,"Sertão Paraibano",250103,"Sousa","Sousa",2007,0.464426075718868,4
251630,2502,"Borborema",250210,"Cariri Ocidental","Sumé",2007,0.344332743581146,3
251640,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Tacima",2007,0.218765951240969,-1
251650,2502,"Borborema",250210,"Cariri Ocidental","Taperoá",2007,0.270327027415732,1
251660,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Tavares",2007,0.233514245498436,-1
251670,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Teixeira",2007,0.262431572740274,1
251675,2502,"Borborema",250209,"Seridó Oriental Paraibano","Tenório",2007,0.237113996311751,-1
251680,2501,"Sertão Paraibano",250102,"Cajazeiras","Triunfo",2007,0.225440550848388,-1
251690,2501,"Sertão Paraibano",250102,"Cajazeiras","Uiraúna",2007,0.217602233492013,-1
251700,2503,"Agreste Paraibano",250319,"Umbuzeiro","Umbuzeiro",2007,0.211992723490271,-1
251710,2502,"Borborema",250208,"Seridó Ocidental Paraibano","Várzea",2007,0.22216603457927,-1
251720,2501,"Sertão Paraibano",250103,"Sousa","Vieirópolis",2007,0.220258895400309,-1
250550,2501,"Sertão Paraibano",250103,"Sousa","Vista Serrana",2007,0.272517278514951,1
251740,2502,"Borborema",250210,"Cariri Ocidental","Zabelê",2007,0.24387201023988,1
